f0factor,model,count,mean,lower95,upper95,mean±margin
f1.00,natural,12,4.833,4.613,5.054,4.833±0.220
f1.00,SiFiGAN,12,5.000,5.000,5.000,5.000±0.000
f1.00,VAE_SiFiGAN_v1,12,4.917,4.753,5.080,4.917±0.163
f1.00,VAE_SiFiGAN_v2,12,5.000,5.000,5.000,5.000±0.000
f0.50,SiFiGAN,12,3.500,3.205,3.795,3.500±0.295
f0.50,VAE_SiFiGAN_v1,12,2.500,1.797,3.203,2.500±0.703
f0.50,VAE_SiFiGAN_v2,12,4.083,3.792,4.375,4.083±0.291
f2.00,SiFiGAN,12,3.083,2.574,3.593,3.083±0.509
f2.00,VAE_SiFiGAN_v1,12,3.083,2.166,4.001,3.083±0.917
f2.00,VAE_SiFiGAN_v2,12,4.083,3.424,4.742,4.083±0.659
